id,decision_date,ticker,stock_name,decision,reason,market_analysis,composite_score,rise_probability,rsi,adx,vix_value,created_at,updated_at
97,2026-03-17,PEP,펩시코,HOLD,"골든크로스가 형성되었으나 현재가(157.72)가 SMA20(162.99)과 SMA50(162.66) 모두 약 3% 이상 하회하여 골든크로스의 유효성이 의심되며, MACD도 하락 추세(시그널 하회)로 실질적 매수 신호가 아니다. FOMC 결과 대기가 우선이다.","VIX 23.5는 시장 불안이 다소 높은 수준으로, 공격적 매수보다는 선별적 접근이 필요한 환경이다. 3월 FOMC(3/17-18)가 바로 오늘-내일 진행 중이므로 매크로 이벤트 리스크가 매우 높아 신규 매수에 극도로 신중해야 한다.",0.3125,5.0,42.05,20.9,23.51,2026-03-17T13:05:17.31583+00:00,2026-03-17T23:33:13.64819+00:00
101,2026-03-18,NFLX,넷플릭스,HOLD,"ML 상승확률이 41.14%로 50% 미만이고, MACD가 시그널선 하회(매수신호 없음)하며, 거래량 데이터가 0.0배로 비정상적이어서 신뢰할 수 없습니다. 골든크로스와 강한 ADX는 긍정적이나, 현재가($94.36)가 SMA20($96.15) 아래에 위치해 단기 하락 압력이 존재하고, 예측가($133.18) 대비 괴리가 지나치게 커 ML 모델의 신뢰성에도 의문이 있습니다.","VIX 22.37은 시장 불안이 다소 높은 수준으로, 적극적 매수보다는 선별적 접근이 필요한 환경입니다. 두 종목 모두 거래량이 5일 평균 대비 0.0배로 사실상 데이터 결측이 의심되며, 이는 신뢰도를 크게 떨어뜨리는 요소입니다.",0.4995,41.14,58.92,30.41,22.37,2026-03-18T12:53:45.480554+00:00,2026-03-18T23:32:11.742256+00:00
102,2026-03-18,HON,허니웰 인터내셔널,HOLD,"ML 상승확률이 3.65%로 극히 낮아 하락 가능성이 압도적이며, RSI 43.55로 모멘텀이 약하고, MACD도 음수 영역에서 시그널선을 하회하고 있어 기술적으로도 매수 근거가 부족합니다. 현재가($231.42)가 SMA20($238.71)과 SMA50($237.62) 모두 하회하여 골든크로스의 유효성이 의심됩니다.","VIX 22.37은 시장 불안이 다소 높은 수준으로, 적극적 매수보다는 선별적 접근이 필요한 환경입니다. 두 종목 모두 거래량이 5일 평균 대비 0.0배로 사실상 데이터 결측이 의심되며, 이는 신뢰도를 크게 떨어뜨리는 요소입니다.",0.3513,3.65,43.55,31.03,22.37,2026-03-18T12:53:45.852018+00:00,2026-03-18T23:32:12.136654+00:00
105,2026-03-19,HON,허니웰 인터내셔널,HOLD,"골든크로스가 발생했으나 현재가($229.92)가 SMA20($238.16) 대비 약 3.5% 하회하고 있어 유효한 매수 신호로 보기 어렵고, MACD가 시그널선 아래에서 하락 중이며 RSI 41.77로 반등 모멘텀도 부족합니다. 거래량 데이터 이상(0.0배)도 신뢰도를 떨어뜨립니다.","VIX 25.09로 시장 불안감이 높은 상태이며, 두 후보 종목 모두 현재가가 SMA20/SMA50을 크게 하회하고 있어 골든크로스의 유효성이 의심되고, 거래량이 5일 평균 대비 0.0배로 사실상 데이터 부재 또는 극도로 낮은 유동성 상태입니다.",0.3504,4.56,41.77,29.86,25.09,2026-03-19T11:21:57.981268+00:00,2026-03-19T23:33:35.228152+00:00
106,2026-03-19,SBUX,스타벅스,HOLD,"현재가($92.66)가 SMA20($98.40) 대비 약 5.8%, SMA50($96.86) 대비 약 4.3% 하회하여 골든크로스가 무의미하며, RSI 37.65로 과매도 근접이지만 MACD가 시그널선 아래로 하락 전환 중이고 감성분석 점수(0.003)가 거의 중립으로 상승 촉매가 부재합니다. VIX 25 환경에서 낙하하는 칼날을 잡을 근거가 불충분합니다.","VIX 25.09로 시장 불안감이 높은 상태이며, 두 후보 종목 모두 현재가가 SMA20/SMA50을 크게 하회하고 있어 골든크로스의 유효성이 의심되고, 거래량이 5일 평균 대비 0.0배로 사실상 데이터 부재 또는 극도로 낮은 유동성 상태입니다.",0.3339,4.31,37.65,25.97,25.09,2026-03-19T11:21:58.331008+00:00,2026-03-19T23:33:35.53086+00:00
109,2026-03-23,NFLX,넷플릭스,HOLD,"골든크로스가 발생했으나 현재가($91.82)가 SMA20($95.72)을 하회하고 있어 골든크로스의 유효성이 의심되며, MACD가 시그널선 아래에 있어 매수신호가 부재합니다. 또한 거래량이 5일 평균 대비 0.01배로 극도로 낮아 유동성 리스크가 크고, ML 상승확률 33%는 하락 가능성이 더 높음을 시사하므로 진입을 보류합니다.","VIX 26.78로 시장 불안감이 높은 상태이며, 변동성이 확대된 환경에서 매수 진입 시 리스크 관리가 필수적입니다. 전반적으로 방어적 접근이 필요하나, 개별 종목의 기술적·펀더멘털 조건이 충족되면 선별적 매수는 가능합니다.",0.5018,33.32,51.23,25.11,26.78,2026-03-23T12:25:55.926637+00:00,2026-03-23T23:34:00.336894+00:00
110,2026-03-23,SBUX,스타벅스,HOLD,"현재가($92.55)가 SMA20($97.53)과 SMA50($96.88) 모두를 크게 하회하여 골든크로스가 무력화된 상태이고, RSI 37.41로 약세 영역에 진입 중이며 MACD도 음수로 하락 모멘텀이 지속되고 있습니다. 감성분석도 소폭 부정적이고 ML 상승확률이 6%에 불과하여 매수 근거가 부족합니다.","VIX 26.78로 시장 불안감이 높은 상태이며, 변동성이 확대된 환경에서 매수 진입 시 리스크 관리가 필수적입니다. 전반적으로 방어적 접근이 필요하나, 개별 종목의 기술적·펀더멘털 조건이 충족되면 선별적 매수는 가능합니다.",0.3761,6.06,37.41,25.99,26.78,2026-03-23T12:25:56.18537+00:00,2026-03-23T23:34:00.659552+00:00
113,2026-03-24,NFLX,넷플릭스,HOLD,"골든크로스 발생에도 현재가($93.38)가 SMA20($95.51)을 하회하고 있어 골든크로스의 유효성이 의심되며, MACD가 시그널선 아래에서 하락 중이고 거래량이 사실상 0에 가까워 매수 모멘텀이 전혀 확인되지 않습니다. VIX 26 이상의 고변동성 환경에서 추세 확인 없이 진입하기엔 리스크가 큽니다.","VIX 26.15로 시장 불안감이 높은 상태이며, 변동성이 확대된 환경에서 공격적 매수보다는 선별적 접근이 필요한 시점입니다. 두 종목 모두 골든크로스는 형성되었으나 MACD 매수신호 미발생, 거래량 극히 부진 등 모멘텀 확인이 부족합니다.",0.312,3.59,55.18,23.43,26.15,2026-03-24T13:07:56.575778+00:00,2026-03-24T23:30:43.533622+00:00
114,2026-03-24,PYPL,페이팔,HOLD,"ML 상승확률 7.21%로 상대적으로 양호하나, ADX 16.64로 추세가 매우 약한 횡보 구간이며 MACD 매수신호 미발생, 감성분석이 음수(-0.11)로 시장 심리도 부정적입니다. 거래량 0.08배로 극도로 낮아 유의미한 가격 움직임을 기대하기 어렵고, 추세 형성 확인 후 진입이 바람직합니다.","VIX 26.15로 시장 불안감이 높은 상태이며, 변동성이 확대된 환경에서 공격적 매수보다는 선별적 접근이 필요한 시점입니다. 두 종목 모두 골든크로스는 형성되었으나 MACD 매수신호 미발생, 거래량 극히 부진 등 모멘텀 확인이 부족합니다.",0.3023,7.21,48.83,16.64,26.15,2026-03-24T13:07:56.777754+00:00,2026-03-24T23:30:43.807687+00:00
117,2026-03-25,SBUX,스타벅스,HOLD,"골든크로스가 발생했으나 현재가($91.98)가 SMA20($97.13) 대비 약 5.3% 하회하여 골든크로스 신호가 무효화되고 있으며, MACD도 매도 영역에 있고 거래량이 사실상 0배로 매수 근거가 부족합니다. RSI 37.7은 과매도 근접이나 ADX 26.6의 하락 추세 속 낙폭 확대 가능성이 있어 진입 시점이 아닙니다.","VIX 26.95로 시장 불안감이 높은 상태이며, 두 종목 모두 현재가가 SMA20/SMA50을 크게 하회하고 MACD 매수신호도 없어 골든크로스의 유효성이 의심되는 환경입니다.",0.3363,3.85,37.71,26.6,26.95,2026-03-25T13:26:19.835892+00:00,2026-03-25T23:34:01.989763+00:00
118,2026-03-25,MU,마이크론,HOLD,"현재가($395.53)가 SMA20($414.04) 대비 약 4.5% 하회하여 골든크로스 유효성이 약하고, MACD가 시그널선 아래로 하락 중이며 ADX 18.16으로 추세 자체가 약해 방향성 없는 하락 구간입니다. 거래량도 0.03배로 극히 낮아 기관 매수세가 부재하며, 반도체 섹터 변동성이 높은 VIX 환경에서 무리한 진입은 부적절합니다.","VIX 26.95로 시장 불안감이 높은 상태이며, 두 종목 모두 현재가가 SMA20/SMA50을 크게 하회하고 MACD 매수신호도 없어 골든크로스의 유효성이 의심되는 환경입니다.",0.336,5.56,45.11,18.16,26.95,2026-03-25T13:26:20.183976+00:00,2026-03-25T23:34:02.344017+00:00
121,2026-03-26,MU,마이크론,HOLD,"골든크로스가 발생했으나 현재가(382.09)가 SMA20(413.29)과 SMA50(409.47)을 크게 하회하여 골든크로스 신호가 무효화된 상태이며, ADX 18.66으로 추세가 약하고 거래량도 거의 없어 하락 추세 지속 가능성이 높습니다.","VIX 25.3으로 시장 불안감이 높은 상태이며, 세 종목 모두 거래량이 5일 평균 대비 거의 0에 가까워 유동성이 극도로 낮고, MACD 매수신호도 부재하여 전반적으로 매수에 불리한 환경입니다.",0.4166,17.07,41.89,18.66,25.33,2026-03-26T12:55:26.23127+00:00,2026-03-26T23:33:08.470349+00:00
122,2026-03-26,PYPL,페이팔,HOLD,"감성분석이 -0.16으로 부정적이고, MACD 매수신호 부재, ADX 14.58로 추세가 매우 약하며, 거래량이 사실상 0으로 매수 진입 시 슬리피지 리스크가 크고 방향성 없는 횡보 구간으로 판단됩니다.","VIX 25.3으로 시장 불안감이 높은 상태이며, 세 종목 모두 거래량이 5일 평균 대비 거의 0에 가까워 유동성이 극도로 낮고, MACD 매수신호도 부재하여 전반적으로 매수에 불리한 환경입니다.",0.3471,11.11,46.86,14.58,25.33,2026-03-26T12:55:26.565553+00:00,2026-03-26T23:33:08.729793+00:00
123,2026-03-26,NFLX,넷플릭스,HOLD,"세 종목 중 감성분석(0.21)이 가장 긍정적이고 RSI가 중립 구간이며 현재가가 SMA50(88.01) 위에 있어 상대적으로 양호하나, ML 상승확률이 3.24%로 매우 낮고 MACD가 하향 교차 중이며 거래량 부재로 현 시점 매수 근거가 부족합니다.","VIX 25.3으로 시장 불안감이 높은 상태이며, 세 종목 모두 거래량이 5일 평균 대비 거의 0에 가까워 유동성이 극도로 낮고, MACD 매수신호도 부재하여 전반적으로 매수에 불리한 환경입니다.",0.315,3.24,51.97,20.43,25.33,2026-03-26T12:55:26.811597+00:00,2026-03-26T23:33:08.928561+00:00
127,2026-03-27,PYPL,페이팔,HOLD,"골든크로스와 MACD 매수신호가 있으나, ADX 13.88로 추세가 매우 약해 횡보 가능성이 높고, 감성분석이 부정적(-0.19)이며, 거래량이 5일 평균 대비 0.0배로 매수세 유입이 전혀 확인되지 않습니다. VIX 27 이상의 고변동성 환경에서 추세 없는 종목에 진입하는 것은 리스크 대비 보상이 불리합니다.","VIX 27.44는 시장 불안감이 상당히 높은 수준으로, 변동성 확대 구간에서 신규 매수는 보수적으로 접근해야 합니다. 리스크 대비 보상이 명확한 경우에만 진입이 바람직합니다.",0.3659,6.45,48.38,13.88,27.44,2026-03-27T13:03:00.817262+00:00,2026-03-27T23:32:08.605917+00:00
129,2026-03-30,NFLX,넷플릭스,HOLD,"골든크로스가 발생했고 현재가가 SMA20 근처에 있어 기술적으로 양호하나, MACD 매수신호 미발생, ADX 19.33으로 추세가 약하며, 거래량이 사실상 0배로 매수 참여가 전무한 상태이므로 확인 후 진입이 바람직합니다.","VIX 31.05로 시장 공포 수준이 높아 변동성이 크고 하방 리스크가 상존하는 환경이며, 대부분 종목의 거래량이 5일 평균 대비 거의 0배로 유동성이 극히 낮아 신뢰할 수 있는 매수 시점으로 보기 어렵습니다. 전반적으로 방어적 접근이 필요하나, 기술적으로 유효한 신호가 있는 종목은 선별적 매수를 고려할 수 있습니다.",0.4177,21.65,54.75,19.33,31.05,2026-03-30T11:53:38.902979+00:00,2026-03-30T23:35:01.291407+00:00
130,2026-03-30,MU,마이크론,HOLD,"골든크로스가 표시되어 있으나 현재가 $357이 SMA20($409), SMA50($407)을 크게 하회하고 있어 골든크로스의 유효성이 의심되며, MACD가 -12.69로 깊은 음수이고 RSI도 36.95로 약세 구간에 있어 하락 추세가 지속 중인 것으로 판단됩니다.","VIX 31.05로 시장 공포 수준이 높아 변동성이 크고 하방 리스크가 상존하는 환경이며, 대부분 종목의 거래량이 5일 평균 대비 거의 0배로 유동성이 극히 낮아 신뢰할 수 있는 매수 시점으로 보기 어렵습니다. 전반적으로 방어적 접근이 필요하나, 기술적으로 유효한 신호가 있는 종목은 선별적 매수를 고려할 수 있습니다.",0.3884,11.15,36.95,20.42,31.05,2026-03-30T11:53:39.323075+00:00,2026-03-30T23:35:01.685565+00:00
131,2026-03-30,AAPL,애플,BUY,"MACD가 시그널선을 상향 돌파하며 매수신호가 발생했고, 현재가가 SMA20 근처에서 반등을 시도 중이며, 감성분석이 양호(0.18)하고 ML 예측가 대비 약 10% 상승 여력이 있어 VIX 고려 시에도 분할 매수 진입이 합리적입니다.","VIX 31.05로 시장 공포 수준이 높아 변동성이 크고 하방 리스크가 상존하는 환경이며, 대부분 종목의 거래량이 5일 평균 대비 거의 0배로 유동성이 극히 낮아 신뢰할 수 있는 매수 시점으로 보기 어렵습니다. 전반적으로 방어적 접근이 필요하나, 기술적으로 유효한 신호가 있는 종목은 선별적 매수를 고려할 수 있습니다.",0.361,9.88,38.37,22.26,31.05,2026-03-30T11:53:39.612775+00:00,2026-03-30T23:35:01.913002+00:00
132,2026-03-30,PEP,펩시코,BUY,"MACD 매수신호가 발생했고 ADX 28.57로 5개 종목 중 가장 강한 추세를 보이며, 방어적 소비재 섹터로서 VIX 31의 고변동성 환경에서 포트폴리오 방어 역할이 가능하고, 감성분석도 양호한 수준입니다.","VIX 31.05로 시장 공포 수준이 높아 변동성이 크고 하방 리스크가 상존하는 환경이며, 대부분 종목의 거래량이 5일 평균 대비 거의 0배로 유동성이 극히 낮아 신뢰할 수 있는 매수 시점으로 보기 어렵습니다. 전반적으로 방어적 접근이 필요하나, 기술적으로 유효한 신호가 있는 종목은 선별적 매수를 고려할 수 있습니다.",0.3507,6.65,40.86,28.57,31.05,2026-03-30T11:53:39.839703+00:00,2026-03-30T23:35:02.205958+00:00
133,2026-03-30,PYPL,페이팔,HOLD,"골든크로스가 발생했으나 MACD 매수신호 미발생, ADX 13.72로 추세가 매우 약하며, 감성분석이 유일하게 음수(-0.11)로 부정적 뉴스 흐름이 확인되어 리스크 대비 보상이 불충분합니다.","VIX 31.05로 시장 공포 수준이 높아 변동성이 크고 하방 리스크가 상존하는 환경이며, 대부분 종목의 거래량이 5일 평균 대비 거의 0배로 유동성이 극히 낮아 신뢰할 수 있는 매수 시점으로 보기 어렵습니다. 전반적으로 방어적 접근이 필요하나, 기술적으로 유효한 신호가 있는 종목은 선별적 매수를 고려할 수 있습니다.",0.3375,10.23,42.36,13.72,31.05,2026-03-30T11:53:40.131611+00:00,2026-03-30T23:35:02.406959+00:00
139,2026-03-31,MU,마이크론,HOLD,"골든크로스가 발생했으나 현재가($321.80)가 SMA20/SMA50($405) 대비 약 20% 이상 하회하여 골든크로스 신호의 유효성이 극히 의심됩니다. MACD도 강한 매도 신호(-16.87)를 보이고, 거래량이 5일 평균 대비 0.02배로 사실상 거래가 없는 수준이며, VIX 30 이상의 고공포 환경에서 감성분석도 부정적(-0.03)이므로 낙하하는 칼날을 잡을 이유가 없습니다.","VIX 30.61로 시장 공포가 높은 상태이며, 변동성이 크고 하방 리스크가 상존하는 환경으로 신규 매수에 보수적 접근이 필요합니다.",0.4251,17.49,30.74,22.68,30.61,2026-03-31T12:56:01.449674+00:00,2026-03-31T23:33:51.58689+00:00
141,2026-04-01,PYPL,페이팔,HOLD,"골든크로스와 MACD 매수신호가 있으나 ADX 11.92로 추세가 극히 약해 횡보장 가능성이 높고, 감성분석이 -0.32로 부정적이며, 거래량이 5일 평균 대비 0.0배로 매수세 유입이 전혀 확인되지 않아 신호의 신뢰도가 낮습니다. 4월 초 실적 시즌 리스크도 고려하면 진입 시점이 아닙니다.","VIX 25.25는 시장 불안감이 평균 이상으로 높은 수준이며, 적극적 매수보다는 선별적 접근이 필요한 환경입니다. 4월 초 분기 실적 시즌 진입과 매크로 불확실성을 감안하면 확신도가 높은 종목만 진입해야 합니다.",0.4531,18.9,49.45,11.92,25.25,2026-04-01T13:05:29.703976+00:00,2026-04-01T23:32:57.855576+00:00
142,2026-04-01,NFLX,넷플릭스,HOLD,"골든크로스 유효하고 RSI 60.91로 강세 진입 구간이나, MACD가 매수신호를 주지 않고 있으며(MACD < Signal, 하향 교차 진행 중), ADX 18.37로 추세 미확립 상태이고, 거래량 0.0배로 실질적 매수세가 부재합니다. 4월 중순 넷플릭스 실적 발표가 임박해 있어 실적 전 신규 진입은 리스크 대비 보상이 불리합니다.","VIX 25.25는 시장 불안감이 평균 이상으로 높은 수준이며, 적극적 매수보다는 선별적 접근이 필요한 환경입니다. 4월 초 분기 실적 시즌 진입과 매크로 불확실성을 감안하면 확신도가 높은 종목만 진입해야 합니다.",0.4265,47.57,60.91,18.37,25.25,2026-04-01T13:05:29.962387+00:00,2026-04-01T23:32:58.572501+00:00
145,2026-04-03,NFLX,넷플릭스,BUY,"골든크로스 확인, MACD 매수신호, RSI 59로 과매수 아닌 강세 진입 구간이며 ML 예측 상승확률 17.6%로 후보 중 가장 높다. 현재가($98.66)가 SMA20($93.78)과 SMA50($90.13) 모두 상회하고 있어 기술적 신호가 유효하며, ADX가 약하지만 골든크로스 초기 단계로 추세 형성 가능성이 있다.","VIX 23.87은 시장 불안이 다소 높은 수준으로, 적극적 매수보다는 선별적 접근이 필요한 환경이다. 4월 초 관세 정책 불확실성과 매크로 이벤트 리스크를 감안하면 확신도 높은 종목에만 진입해야 한다.",0.5789,17.63,58.96,18.66,23.87,2026-04-03T13:26:03.602131+00:00,2026-04-03T23:30:41.238524+00:00
146,2026-04-03,ADBE,어도비,HOLD,"골든크로스 미발생, 현재가($242.92)가 SMA50($256.99) 대비 약 5.5% 하회하며 하락 추세 지속 중이다. ADX 37.72로 강한 추세가 확인되나 이는 하락 추세의 강도를 의미하며, RSI 40으로 반등 신호도 부족하여 바닥 확인 전까지 진입은 시기상조다.","VIX 23.87은 시장 불안이 다소 높은 수준으로, 적극적 매수보다는 선별적 접근이 필요한 환경이다. 4월 초 관세 정책 불확실성과 매크로 이벤트 리스크를 감안하면 확신도 높은 종목에만 진입해야 한다.",0.3887,3.01,40.06,37.72,23.87,2026-04-03T13:26:03.90861+00:00,2026-04-03T23:30:41.489404+00:00
147,2026-04-03,AMGN,암젠,HOLD,"골든크로스 미발생, 현재가($347.94)가 SMA50($366.53) 대비 약 5% 하회하고 RSI 39.58로 매수구간에 미달하며, ADX 18.66으로 추세도 약해 방향성 없는 횡보 가능성이 높다. 거래량도 5일 평균 대비 0.6배로 매수세 유입이 확인되지 않는다.","VIX 23.87은 시장 불안이 다소 높은 수준으로, 적극적 매수보다는 선별적 접근이 필요한 환경이다. 4월 초 관세 정책 불확실성과 매크로 이벤트 리스크를 감안하면 확신도 높은 종목에만 진입해야 한다.",0.3178,3.13,39.58,19.56,23.87,2026-04-03T13:26:04.21299+00:00,2026-04-03T23:30:41.660901+00:00
151,2026-04-06,TSLA,테슬라,HOLD,"현재가($360.59)가 SMA20($371.72)과 SMA50($390.97) 모두 하회하는 하락 추세에 있으며, RSI 38.91은 과매도도 아닌 애매한 구간이다. MACD 매수신호가 발생했으나 골든크로스 미형성 상태에서 데드크로스 구간의 약한 반등 시도에 불과할 수 있어, VIX 23.87 환경에서 진입하기엔 리스크 대비 보상이 불충분하다.","VIX 23.87은 시장 불안이 다소 높은 수준으로, 적극적 매수보다는 선별적 접근이 필요한 환경이다. 세 종목 모두 감성분석 데이터가 없고 종합점수가 0.5 미만으로 전반적으로 확신도가 낮은 후보군이다.",0.4679,5.3,38.91,27.55,23.87,2026-04-06T11:05:20.855086+00:00,2026-04-06T23:30:46.16042+00:00
154,2026-04-06,NFLX,넷플릭스,BUY,"골든크로스 형성, MACD 매수신호, RSI 58.97 강세 진입 등 기술적 지표가 세 종목 중 가장 정렬되어 있고, 현재가($98.66)가 SMA20($94.29)·SMA50($91.46) 모두 상회하여 상승 추세가 유효하다. ADX 18.66으로 추세 강도가 약하고 거래량이 부족한 점은 리스크이나, 기술적 신호의 일관성이 높아 소규모 포지션 진입은 정당화된다.","VIX 23.87은 시장 불안이 다소 높은 수준으로, 적극적 매수보다는 선별적 접근이 필요한 환경이다. 세 종목 모두 감성분석 데이터가 없고 종합점수가 0.5 미만으로 전반적으로 확신도가 낮은 후보군이다.",0.36,2.84,58.97,18.66,23.87,2026-04-06T11:42:07.545412+00:00,2026-04-06T23:30:46.411252+00:00
155,2026-04-06,AMGN,암젠,HOLD,"골든크로스 미형성, 현재가($347.94)가 SMA50($365.32) 대비 약 5% 하회, ADX 19.54로 추세 부재, 거래량 0.6배로 매수세 유입이 전혀 없는 상태이다. MACD 매수신호만으로는 하락 추세 속 약한 반등을 잡기에 근거가 부족하며, 종합점수 0.30은 매수 기준에 미달한다.","VIX 23.87은 시장 불안이 다소 높은 수준으로, 적극적 매수보다는 선별적 접근이 필요한 환경이다. 세 종목 모두 감성분석 데이터가 없고 종합점수가 0.5 미만으로 전반적으로 확신도가 낮은 후보군이다.",0.3029,4.77,39.59,19.54,23.87,2026-04-06T11:42:07.756268+00:00,2026-04-06T23:30:46.585876+00:00
159,2026-04-07,AMGN,암젠,HOLD,"현재가($342.57)가 SMA20($349.24)과 SMA50($364.79) 모두 하회하며 하락 추세 지속 중이고, RSI 35.6은 과매도 근접이나 아직 반등 확인이 안 된 상태이다. ML 상승확률 4.32%는 유의미한 엣지로 보기 어렵고, 거래량도 평균 이하(0.83배)로 매수세 유입이 확인되지 않아 추세 전환 확인 후 진입이 바람직하다.","VIX 24.17은 시장 불안이 다소 높은 수준으로, 공격적 매수보다는 선별적 접근이 필요한 환경이다. 양 종목 모두 SMA20/50 아래에서 거래되며 하락 추세가 지속 중이나, MACD 매수신호가 나타나 단기 반등 가능성은 존재한다.",0.3593,4.32,35.6,20.11,24.17,2026-04-07T11:25:51.056622+00:00,2026-04-07T23:34:31.578517+00:00
160,2026-04-07,AVGO,브로드컴,HOLD,"거래량이 5일 평균 대비 0.01배로 극단적으로 낮아 데이터 신뢰성에 심각한 의문이 있으며, 이는 시스템 오류 또는 비정상 거래일(휴장 직후 등) 가능성을 시사한다. 골든크로스 미발생에 SMA50($321.44) 하회 중이고, VIX 24 수준에서 반도체 섹터의 변동성 리스크를 감안하면 정상 거래량 확인 후 재검토가 필요하다.","VIX 24.17은 시장 불안이 다소 높은 수준으로, 공격적 매수보다는 선별적 접근이 필요한 환경이다. 양 종목 모두 SMA20/50 아래에서 거래되며 하락 추세가 지속 중이나, MACD 매수신호가 나타나 단기 반등 가능성은 존재한다.",0.3298,5.86,46.38,22.87,24.17,2026-04-07T11:25:51.392075+00:00,2026-04-07T23:34:31.90247+00:00
163,2026-04-08,AAPL,애플,HOLD,"현재가($253.50)가 SMA50($257.38) 대비 약 1.5% 하회하고 골든크로스 미발생, ADX 19.34로 추세가 없는 횡보 구간이며, MACD 매수신호가 발생했으나 RSI 47로 중립이고 VIX가 높아 신뢰도가 낮습니다. 4월 말 실적 시즌 임박(AAPL 통상 4월 말~5월 초 실적 발표)으로 실적 발표 전 진입은 리스크가 큽니다.","VIX 25.78은 시장 불안감이 평균 이상으로 높은 상태를 나타내며, 적극적 매수보다는 선별적 접근이 필요한 환경입니다. 두 종목 모두 골든크로스 미발생, SMA50 하회, ADX 약세 등 뚜렷한 상승 추세가 부재한 상황입니다.",0.4063,4.75,47.02,19.34,25.78,2026-04-08T12:44:37.408947+00:00,2026-04-08T23:32:54.538793+00:00
164,2026-04-08,PEP,펩시코,HOLD,"현재가($153.21)가 SMA50($159.28) 대비 약 3.8% 하회하여 하락 추세 속에 있고, 거래량이 5일 평균의 0.79배로 매수세가 약합니다. 펩시코는 통상 4월 중순(4/22 전후) 실적 발표가 예정되어 있어 1~2주 내 실적 이벤트 리스크가 존재하며, 감성분석도 소폭 부정적(-0.015)이므로 실적 확인 후 진입이 바람직합니다.","VIX 25.78은 시장 불안감이 평균 이상으로 높은 상태를 나타내며, 적극적 매수보다는 선별적 접근이 필요한 환경입니다. 두 종목 모두 골든크로스 미발생, SMA50 하회, ADX 약세 등 뚜렷한 상승 추세가 부재한 상황입니다.",0.3814,7.4,43.04,20.43,25.78,2026-04-08T12:44:37.716185+00:00,2026-04-08T23:32:55.041369+00:00
167,2026-04-09,NFLX,넷플릭스,HOLD,"골든크로스와 MACD 매수신호는 긍정적이나, 거래량이 5일 평균 대비 0.04배로 극도로 낮아 신호의 신뢰성이 매우 부족하며, 4월 중순 넷플릭스 실적 발표(통상 4월 셋째 주)가 1~2주 내로 임박해 있어 실적 리스크가 큽니다. RSI 66.31도 과매수 근접 구간으로 추가 상승 여력이 제한적입니다.","VIX 21.04는 다소 높은 불확실성을 반영하지만 극단적 공포 수준은 아니며, 선별적 매수가 가능한 환경입니다. 다만 4월 중순 실적 시즌 진입과 매크로 이벤트에 대한 경계가 필요합니다.",0.4709,13.99,66.31,22.5,21.04,2026-04-09T13:41:05.046898+00:00,2026-04-09T23:34:50.268685+00:00
169,2026-04-10,ADBE,어도비,BUY,"ML 예측 상승확률 12.88%에 예측가 대비 약 13% 업사이드가 있고, MACD 매수신호 전환과 거래량 급증(1.95배)이 바닥권 매집을 시사한다. RSI 31.69는 과매도 직전 수준이며 ADX 37로 추세가 살아있어 하락 추세 소진 후 반등 가능성이 높다고 판단한다.","VIX 19.49는 중립~약간 불안 구간으로, 적극적 매수보다는 선별적 접근이 필요한 시장 환경이다. 대부분의 후보 종목이 SMA50 하회 중이며 하락 추세에서 반등을 노리는 역추세 매매 성격이 강해 종목별 엄격한 필터링이 요구된다.",0.6167,12.88,31.69,37.36,19.49,2026-04-10T11:22:46.925317+00:00,2026-04-10T23:33:58.69405+00:00
170,2026-04-10,NFLX,넷플릭스,HOLD,"RSI 70.80으로 과매수 구간에 진입해 있어 단기 조정 리스크가 크고, 골든크로스와 긍정적 감성에도 불구하고 과매수 상태에서의 신규 매수는 고점 추격 위험이 있다. 4월 중순 넷플릭스 실적 발표 시즌이 임박해 있어 변동성 확대 가능성도 HOLD 사유이다.","VIX 19.49는 중립~약간 불안 구간으로, 적극적 매수보다는 선별적 접근이 필요한 시장 환경이다. 대부분의 후보 종목이 SMA50 하회 중이며 하락 추세에서 반등을 노리는 역추세 매매 성격이 강해 종목별 엄격한 필터링이 요구된다.",0.599,27.07,70.8,22.91,19.49,2026-04-10T11:22:47.174719+00:00,2026-04-10T23:33:59.000368+00:00
171,2026-04-10,MSFT,마이크로소프트,HOLD,"상승확률 4.85%로 매우 낮고, 현재가가 SMA50(387) 대비 크게 하회하며 골든크로스도 미발생 상태로 하락 추세가 지속 중이다. MACD 매수신호가 나왔으나 아직 음수 영역 깊숙이 있어 추세 전환 확인이 필요하다.","VIX 19.49는 중립~약간 불안 구간으로, 적극적 매수보다는 선별적 접근이 필요한 시장 환경이다. 대부분의 후보 종목이 SMA50 하회 중이며 하락 추세에서 반등을 노리는 역추세 매매 성격이 강해 종목별 엄격한 필터링이 요구된다.",0.4474,4.85,40.22,31.36,19.49,2026-04-10T11:22:47.519947+00:00,2026-04-10T23:33:59.233321+00:00
